,country,date,confirmed,fatalities,population_density,median_age,aged_65_older,aged_70_older,population,yearly_change,net_change,density,land_area,migrants,rert_rate,med_age,urban_pop,world_share,r_population
48,Russia,2020-03-19,52.0,1.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
49,Russia,2020-03-20,54.0,0.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
50,Russia,2020-03-21,53.0,0.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
51,Russia,2020-03-22,61.0,0.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
52,Russia,2020-03-23,71.0,0.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
53,Russia,2020-03-24,57.0,0.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
54,Russia,2020-03-25,163.0,2.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
55,Russia,2020-03-26,182.0,0.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
56,Russia,2020-03-27,196.0,1.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
57,Russia,2020-03-28,228.0,0.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
58,Russia,2020-03-29,270.0,4.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
59,Russia,2020-03-30,302.0,1.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
60,Russia,2020-03-31,501.0,8.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
61,Russia,2020-04-01,440.0,7.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
62,Russia,2020-04-02,771.0,6.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
63,Russia,2020-04-03,601.0,4.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
64,Russia,2020-04-04,582.0,9.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
65,Russia,2020-04-05,658.0,2.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
66,Russia,2020-04-06,954.0,2.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
67,Russia,2020-04-07,1154.0,11.0,8.823,39.6,14.178,9.393,0.10146104527921787,0.010416666666666668,0.004578471292846623,0.00034172456999658277,1.0,0.19109222187543856,0.2571428571428572,0.8333333333333334,0.74,0.10124526258798051,145922010.0
